名称,微信号,参考粉丝数,阅读数,是否是原创,新榜指数,微信id,微信认证
柠萌兔,ambm55,362401,44162,1,837.21,64169378371C5517093891CF022AF424,
抗癌公社,kangaigongshe,194341,43767,1,830.76,97E6156675878A8F50146B0EE51325F9,
富爸爸穷爸爸,richdadpoordad,1034718,43641,1,857.99,FE33B9E13512F9BEDE348BAB1DC6E09C,微信认证：上海即非投资管理有限公司
天天说钱,liuxb0929,900520,43322,1,846.36,7067863C3399B1D8C6EDE5A2996E5C0B,微信认证：深圳市天天说钱投资咨询有限公司
果快鉴定,jd_iphone,481793,43312,1,824.14,E39449CCB7199AB72519F811BA5A1C77,微信认证：深圳市微峰科技有限公司
好车e贷,haocheedai,1010424,42988,1,826.58,625C54446FEAC3CBA6979A8470C02A40,微信认证：上海汽车集团财务有限责任公司
看懂龙头股,mrztbfp,150000,41969,1,852.40,A6676EBADE9167502464907A69FD0B8D,
格上财富,gesafecom,1089405,41382,1,857.29,48CD41E18DD7A555FEF81B31B20F06FA,微信认证：北京格上理财顾问有限公司
港股那点事,hkstocks,0,41168,1,877.96,673B5916093337B793F2D731D43A6E48,微信认证：格隆汇科技发展(深圳)有限公司
中国好文章,zghwz0,209362,40827,0,814.25,641E537568EC737865CCAF45182793F2,
全球美景照片,gh_1dde6d47ae29,379966,39853,1,853.55,24E9C7852E5AA5A4DF6D373C0EEF8180,微信认证：广州百帆信息科技有限公司
新财富,newfortune,900000,39446,1,833.64,B7C02A92B0986ABE78CE31C641FBC869,微信认证：深圳市新财富多媒体经营有限公司
中医养生堂,zyyst99,1137551,39241,1,871.40,26CC66C22C9DB33E2C392D2EE5BF7118,
读书与旅行,Read-journey,261886,38811,1,819.85,8BCF57F615912F67ED88692C4A888FFD,
华商韬略,hstl8888,705530,38794,1,835.17,1865B5DA54AD5BB225D94F639AD391ED,微信认证：华商韬略(北京)文化传媒有限公司
汉周读书,hanzhou006,540000,38734,1,872.85,B6D99BA97BFEF57381B01281AE4D3360,微信认证：杭州咩咩网络科技有限公司
民歌中国,mingechina,778889,38586,1,873.99,CB8DFCA72944B50F658637FD39090466,
MBA智库,mbalib,940000,38314,1,830.68,80AE45726E5F85AFD08CBCE5B0D1C2B2,微信认证：厦门众智创库企业管理咨询有限公司
雪球,xueqiujinghua,700000,38092,1,852.37,4E287B5E0B09489F1B39C9181694D6C4,微信认证：北京雪球信息科技有限公司
